app       , args                                                      , ranks, quartz , ruby   , lassen, borax , boraxo, corona-cpu, dane  , mammoth, matrix-cpu, matrix-gpu, tioga-cpu, tioga-gpu, tuolumne-cpu, tuolumne-gpu
kripke.exe, "--niter15--pmethodbj--groups16--legendre3--procs4,4,2"   , 32   , 1.0    , 1.4142 ,       ,       ,       ,           , 0.1819, 0.2694 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups16--legendre4                 , 1    , 1.0    , 2.1159 , 1.3639,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups16--legendre4--procs4,4,2"   , 32   , 1.0    , 1.4738 ,       ,       ,       ,           , 0.2074, 0.3452 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups32--legendre0                 , 1    , 1.0    , 2.1523 , 0.569 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups32--legendre0--procs4,4,2"   , 32   , 1.0    , 1.3153 ,       ,       ,       ,           , 0.2568, 0.2816 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups32--legendre1                 , 1    , 1.0    , 2.1249 , 0.7516,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups32--legendre1--procs4,4,2"   , 32   , 1.0    , 1.3542 ,       ,       ,       ,           , 0.2819, 0.3368 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups32--legendre2                 , 1    , 1.0    , 2.0867 , 1.0668,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.1158
kripke.exe, "--niter15--pmethodbj--groups32--legendre2--procs4,4,2"   , 32   , 1.0    , 1.3896 ,       ,       ,       ,           , 0.3347, 0.4173 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups32--legendre3                 , 1    , 1.0    , 1.9994 , 1.4356,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 0.137
kripke.exe, "--niter15--pmethodbj--groups32--legendre3--procs4,4,2"   , 32   , 1.0    , 1.4018 ,       ,       ,       ,           , 0.3994, 0.5416 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups32--legendre4                 , 1    , 1.0    , 2.0079 , 1.93  ,       ,       , 0.103     ,       ,        ,           ,           ,          ,          ,             , 0.1359
kripke.exe, "--niter15--pmethodbj--groups32--legendre4--procs4,4,2"   , 32   , 1.0    , 1.3024 ,       ,       ,       ,           , 0.409 , 0.6488 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups8--legendre0                  , 1    , 1.0    , 2.3076 , 0.305 ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups8--legendre0--procs4,4,2"    , 32   , 1.0    , 1.627  ,       ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups8--legendre1                  , 1    , 1.0    , 1.9928 , 0.3643,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups8--legendre1--procs4,4,2"    , 32   , 1.0    , 1.4395 ,       ,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups8--legendre2                  , 1    , 1.0    , 2.3303 , 0.4939,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups8--legendre2--procs4,4,2"    , 32   , 1.0    , 1.4468 ,       ,       ,       ,           , 0.1016, 0.1176 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups8--legendre3                  , 1    , 1.0    , 2.2775 , 0.5863,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
kripke.exe, "--niter15--pmethodbj--groups8--legendre3--procs4,4,2"    , 32   , 1.0    , 1.4388 ,       ,       ,       ,           , 0.1178, 0.1513 ,           ,           ,          ,          ,             , 
kripke.exe, --niter15--pmethodbj--groups8--legendre4                  , 1    , 1.0    , 2.061  , 0.6624,       ,       ,           ,       ,        ,           ,           ,          ,          ,             , 
